BY/112 11.05. ТР013 045.01 01344	17.06.2022	Общество с ограниченной ответственностью "АРХИТЕХ"	проектная документация по объекту № 15-21-П «Строительство доильно-молочного блока на МТФ вблизи д. Бельск Кобринского района»	И.А.Бортновская	Область Брестская, г. Брест, ул. проспект Машерова, 6А,  10, индекс 224030
BY/112 11.04. ТР013 045.01 01343	16.06.2022	Дочернее коммунальное унитарное предприятие по капитальному строительству "УКС города Бреста"	завершенное строительством здание многоквартирный жилой дом в группе жилых домов по ул. Вульковской г. Бреста (КПД-2)	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоголя, 7/1, индекс 224030
BY/112 11.02. ТР013 045.01 01342	16.06.2022	Иностранное общество с ограниченной ответственностью "ПРОФИЛИ ВОКС"	панели ламельные и комплектующие к ним из пенополистирола для внутренней отделки	И.А.Бортновская	225003, Брестская обл., Брестский р-н, Тельминский c/c, 7
BY/112 11.05. ТР013 045.01 01341	15.06.2022	Общество с ограниченной ответственностью "Проджект"	проектная документация по объекту № 22.01-01П «Энергоэффективные мероприятия 6 квартирного жилого дома № 8 по ул. Энергетиков в аг. Мотоль»	П.П.Радкович	Область Брестская, г. Брест, ул. бульвар Шевченко, 4-2,  504
BY/112 11.02. ТР013 045.01 01340	14.06.2022	Общество с дополнительной ответственностью "Кип-Оранж"	плитка из керамогранита глазурованная для внутренней облицовки элементов зданий и сооружений, размером 1200х600 мм	И.А.Бортновская	Область Брестская, г. Брест, ул. Дзержинского, 50,  11, индекс 224030
BY/112 11.05. ТР013 045.01 01339	14.06.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 031.22 "Замена одного лифта в жилом доме по ул. Сябровской, 81 в г. Бресте. Капитальный ремонт"	И.А.Бортновская	Область Брестская, г. Брест, ул. Интернациональная, 16, индекс 224030
BY/112 11.05. ТР013 045.01 01338	14.06.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 030.22 «Замена одного лифта в жилом доме по ул. 28 Июля, 3А в г. Бресте. Капитальный ремонт»	И.А.Бортновская	Область Брестская, г. Брест, ул. Интернациональная, 16, индекс 224030
BY/112 11.05. ТР013 045.01 01337	14.06.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 028.22 «Модернизация санузла с учетом особых потребностей людей с инвалидностью в административном здании, расположенном по адресу: г. Каменец, ул. 70 лет Октября д. 36»	И.А.Бортновская	Область Брестская, г. Брест, ул. Интернациональная, 16, индекс 224030
BY/112 11.05. ТР013 045.01 01336	13.06.2022	Общество с ограниченной ответственностью "Приорпроект"	проектная документация по объекту № №196/2022 «Капитальный ремонт с элементами реконструкции и модернизации пищеблока здания начальных классов ГУО «Средняя школа № 2 г. Каменец»	И.А.Бортновская	Область Брестская, г. Брест, ул. Карла Маркса, 81, индекс 224030
BY/112 11.05. ТР013 045.01 01335	13.06.2022	Коммунальное проектное унитарное предприятие "Бресткоммунпроект"	проектная документация по объекту № 22.016 "Замена устаревшего котла на энергоэффективный в котельной № 41 аг. Дубой Столинского района”	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоголя, 2, индекс 224005
BY/112 11.02. ТР013 045.01 01334	10.06.2022	Индивидуальный предприниматель Козлов Виктор Леонидович	материалы рулонные кровельные гидроизоляционные мембраны	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Московская, 332,  113, индекс 224023
BY/112 11.05. ТР013 045.01 01333	10.06.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства" г. Брест	проектная документация по объекту № 22.22 "Проект застройки группы многоквартирных жилых домов южнее микрорайона "Жемчужный" в г. Пинске. Многоквартирный жилой дом позиция № 11 по генплану"	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Пушкинская, 16/1, индекс 224005
